date,price_source1,return_source1,price_source2,return_source2,price_diff,abs_diff
2026-02-01,77375.46377773459,,77414.15150962345,,-38.68773188885825,38.68773188885825
2026-02-02,77517.32554193558,0.0018334205350742927,77556.08420470655,0.0018334205350742927,-38.75866277096793,38.75866277096793
2026-02-03,77459.59580489328,-0.0007447333436584325,77498.32560279572,-0.0007447333436584325,-38.72979790244426,38.72979790244426
2026-02-04,75039.32369993177,-0.031245607207372128,75076.84336178174,-0.031245607207372128,-37.51966184996127,37.51966184996127
2026-02-05,69115.40290404837,-0.07894421889477643,69149.9606055004,-0.07894421889477643,-34.55770145202405,34.55770145202405
2026-02-06,66975.7170762118,-0.03095816182692379,67009.20493474991,-0.03095816182692379,-33.48785853810841,33.48785853810841
2026-02-07,69290.27308781586,0.03455813707780564,69324.91822435976,0.03455813707780564,-34.64513654389884,34.64513654389884
2026-02-08,70260.88738525078,0.014007944465809885,70296.0178289434,0.014007944465809885,-35.13044369261479,35.13044369261479
2026-02-09,70100.64197868145,-0.00228071993583967,70135.69229967079,-0.00228071993583967,-35.05032098933589,35.05032098933589
2026-02-10,69202.07952681785,-0.012818177216363691,69236.68056658126,-0.012818177216363691,-34.60103976340906,34.60103976340906
2026-02-11,67383.31282084258,-0.026281966068237073,67417.004477253,-0.026281966068237073,-33.691656410417636,33.691656410417636
2026-02-12,66942.43151864687,-0.0065428855266868036,66975.90273440619,-0.0065428855266868036,-33.47121575931669,33.47121575931669
2026-02-13,67388.371077036,0.006661538104795417,67422.06526257451,0.006661538104795417,-33.694185538508464,33.694185538508464
2026-02-14,69457.061944203,0.03069803935165827,69491.7904751751,0.03069803935165827,-34.728530972104636,34.728530972104636
2026-02-15,69523.305449941,0.0009537331969384777,69558.06710266597,0.0009537331969384777,-34.761652724962914,34.761652724962914
2026-02-16,68483.5495155366,-0.014955502010085997,68517.79129029436,-0.014955502010085997,-34.241774757771054,34.241774757771054
2026-02-17,68018.64645175425,-0.006788536328375838,68052.65577498013,-0.006788536328375838,-34.00932322588051,34.00932322588051
2026-02-18,67274.56126518798,-0.010939429485619767,67308.19854582057,-0.010939429485619767,-33.63728063259623,33.63728063259623
2026-02-19,66709.63746441096,-0.008397287030236567,66742.99228314316,-0.008397287030236567,-33.35481873220124,33.35481873220124
2026-02-20,67553.19660915658,0.012645236532662363,67586.97320746115,0.012645236532662363,-33.776598304568324,33.776598304568324
2026-02-21,68121.37020254858,0.008410758067886714,68155.43088764985,0.008410758067886714,-34.06068510127079,34.06068510127079
2026-02-22,67796.2205345522,-0.004773093480498258,67830.11864481946,-0.004773093480498258,-33.89811026726966,33.89811026726966
2026-02-23,65473.64783708694,-0.03425814417311901,65506.384661005475,-0.03425814417311901,-32.73682391853799,32.73682391853799
2026-02-24,63761.27443091291,-0.026153627646267608,63793.15506812836,-0.026153627646267608,-31.880637215450406,31.880637215450406
2026-02-25,66507.389339759,0.04306869543239089,66540.64303442888,0.04306869543239089,-33.25369466988195,33.25369466988195
2026-02-26,67870.2384101598,0.020491693989649118,67904.17352936488,0.020491693989649118,-33.93511920508172,33.93511920508172
2026-02-27,66618.94552246491,-0.018436547697577743,66652.25499522615,-0.018436547697577743,-33.30947276123334,33.30947276123334
2026-02-28,65195.640054097625,-0.021364875369985104,65228.23787412467,-0.021364875369985104,-32.59782002704742,32.59782002704742
2026-03-01,66615.25651961252,0.021774714756031877,66648.56414787233,0.021774714756031877,-33.307628259804915,33.307628259804915
2026-03-02,67280.71062595294,0.009989515031658014,67314.35098126592,0.009989515031658014,-33.6403553129785,33.6403553129785
2026-03-03,67824.91983965758,0.008088636529572035,67858.8322995774,0.008088636529572035,-33.91245991982578,33.91245991982578
